1;1364;9.900000;70;small
2;1579;9.900000;10;small
3;3934;9.900000;64;small
4;776;9.900000;47;small
5;2525;9.900000;25;small
6;4845;9.900000;31;small
7;4080;9.900000;79;small
8;3457;9.900000;122;small
9;927;9.900000;63;small
10;2849;9.900000;8;small
11;1691;9.900000;40;small
12;2309;9.900000;138;small
13;1937;9.900000;97;small
14;4639;9.900000;82;small
15;3079;9.900000;198;small
16;4460;9.900000;113;small
17;3392;9.900000;8;small
18;2612;9.900000;172;small
19;238;9.900000;178;small
20;483;9.900000;91;small
