state = {
	id = 7
	name = "STATE_7"
	manpower = 1000
	state_category = rural
	resources = {
		aluminium = 0
		chromium = 0
		oil = 0
		rubber = 0
		steel = 0
		tungsten = 0
	}
	history = {
		owner = IAX
		buildings = {
			infrastructure = 0
			arms_factory = 0
			industrial_complex = 0
		}
		add_core_of = IAX
	}
	provinces = {
		4026
		4027
		4029
		4036
		4039
		4040
		4041
		4042
		4045
		4046
		4051
		4052
		4058
		5073
		5080
		5081
		5083
		5089
		5090
		6057
		6058
		6059
		6062
		6063
		6064
		6066
		6067
		6070
		6072
		6073
		6075
		6077
		6081
		6082
		6084
		6086
		6090
		6091
		6092
		6093
		6095
		6097
		6099
		6637
		6639
		6659
		8069
		8070
		8071
		8072
		8073
		8074
		8076
		8079
		8080
		8081
		8085
		8087
		8088
		8090
		8092
		8093
		8094
		8097
		8098
		8099
		8102
		8105
		8625
		8626
		8627
		8631
		8633
		8634
		8635
		8642
		8653
		8655
		8658
		8661
		8666
		8668
		8670
		8673
		8675
		8761
		8762
		8763
		8764
		8765
		8766
		8767
		8768
		8769
		8770
		8771
		8772
		8773
		8774
		8775
		8776
		8777
		8779
		8780
		8781
		8782
		8784
		8785
		8786
		8787
		8788
		8790
		8791
		8792
		8793
		8794
		8795
		8796
		8797
		8798
		8799
		8800
		8801
		9598
		9602
		9610
	}
	local_supplies = 0
}
