state = {
	id = 9
	name = "STATE_9"
	manpower = 1000
	state_category = rural
	resources = {
		aluminium = 0
		chromium = 0
		oil = 0
		rubber = 0
		steel = 0
		tungsten = 0
	}
	history = {
		owner = IAX
		buildings = {
			infrastructure = 1
			arms_factory = 0
			industrial_complex = 0
		}
		add_core_of = IAX
	}
	provinces = {
		4236
		4237
		4240
		4242
		4244
		4245
		4247
		4248
		4249
		4251
		4253
		4254
		4256
		4257
		4258
		4259
		4261
		4263
		4265
		4264
		4269
		4270
		4271
		5067
		5068
		5069
		5070
		5071
		5072
		5075
		5076
		5077
		5078
		5079
		5082
		5084
		5085
		5086
		5091
		5092
		5093
		5094
		5095
		6060
		6061
		6065
		6068
		6069
		6071
		6074
		6076
		6078
		6079
		6080
		6083
		6085
		6087
		6088
		6089
		6094
		6096
		6098
		8107
		8114
		8115
		8556
		8665
		8568
		8573
		8575
		8592
		8628
		8629
		8637
		8639
		8643
		8646
		8647
		8649
		8650
		8651
		8652
		8657
		8659
		8664
		8669
		8674
		8676
		8677
		8680
		8778
		9158
		9159
		9160
		9161
		9162
		9163
		9164
		9165
		9166
		9167
		9168
		9169
		9170
		9171
		9172
		9173
		9174
		9175
		9176
		9177
		9178
		9179
		9180
		9185
		9196
		9199
		9200
		9203
		9497
		9508
		9510
		9511
		9518
		9522
		9523
	}
	local_supplies = 0
}
